(781.347740530061, 1024.1319473178742)
(795.8535016659598, 1056.3189790573658)
(781.9121395842955, 1080.0168409823837)
(761.2881210146272, 1178.2789358950067)
(770.7743516421017, 1099.7770279608892)
(788.0618802456305, 1039.6474077449336)
(794.718919225061, 999.5616663597266)
(782.4591042546773, 1060.2292951280283)
(761.0117058199401, 1053.5294326029546)
(783.1798513123287, 1102.596680706734)
(778.3142700150307, 1035.1933718611815)
(752.2563788705352, 1115.7263741292318)
(780.077630009737, 1017.8845047332985)
(781.9634559880043, 974.0682357925715)
(781.6241557247482, 1096.5857183329185)
(754.8934483861707, 1156.3838919132497)
(760.6757910968234, 1035.5903044840236)
(775.1375135924478, 1059.0320882888866)
(761.678737681592, 1088.389396756887)
(738.2298183653056, 1129.9959922237422)
(789.7003754644854, 1023.3056377893844)
(766.9886508418542, 1089.4441706734435)
(779.9178964661807, 1154.3711053544741)
(757.6108373542274, 1150.0301291940216)
(766.8661848582934, 1015.1104517796172)
(789.7608617407636, 990.4112485527453)
(784.4301286565094, 1069.7243415593175)
(765.6565606142477, 1082.290536212032)
(777.9841396243442, 1015.0525103292786)
(789.3295919736638, 971.7544709842036)
(779.4454669157901, 1109.9799485518984)
(765.1202592474397, 1064.7120803101327)
(777.0780415145631, 950.269729611368)
(750.7916660389498, 1088.6224368394328)
(775.5174669558388, 961.8639965410312)
(792.8795306793589, 1068.303036547108)
(781.6705931573132, 1060.9830169860543)
(762.5650026152299, 1019.7429929943694)
(777.2774414104058, 952.0979305337058)
(783.2311677160375, 1038.6421500318097)
(775.3204658522867, 1094.1577248055653)
(783.5903011554367, 972.8809922407156)
(791.0963375085095, 1079.076188546452)
(772.8910607437771, 1032.3371704238664)
(764.5152070930702, 1098.3969615230849)
(760.3771439337024, 1063.453203606778)
(773.0507942873335, 1091.6765535197476)
(781.9460216041517, 1072.6253358877088)
(765.2427252310005, 1022.8625622324805)
(767.9402810229141, 1076.8072904380995)
(789.7540906604848, 935.5427518344272)
(758.195069584605, 1037.3868610745476)
(772.0851152625606, 1032.1878168653348)
(749.5612218709122, 1098.149053793597)
(774.722184778196, 1050.5349764606583)
(752.4093413338129, 1009.1377995173241)
(784.4301286565094, 1053.8113296057243)
(778.8985022454083, 1128.173797797903)
(775.7483500792472, 1096.0006123275457)
(754.603971095619, 983.77390816973)
(797.5795941006704, 1073.6052844306946)
(784.4335141966488, 1043.6670481749254)
(753.1905746677425, 1114.8112857196763)
(786.971336445006, 1099.2237139052083)
(770.7941848182447, 981.2247249079272)
(788.9597952306909, 1030.7545726690664)
(788.5376953361604, 1120.7688489082107)
(786.4955213544762, 969.8610458809819)
(774.7396191620486, 1082.4802142055214)
(790.7536517051142, 1098.5740764315824)
(779.5306653393552, 1041.7895878582476)
(751.0903132020708, 1058.9081177094317)
(765.9939687683687, 1130.8188616240172)
(756.8736426605723, 1067.2188156223267)
(772.1736992262651, 1121.331064493852)
(777.033496191133, 1072.2528651544003)
(775.7076969791121, 1162.7264485405676)
(782.7858491052244, 1123.3171514599874)
(774.3630513387968, 1091.7797237647)
(774.2299220516624, 1090.1399176517093)
(767.0598004217062, 990.6437789228145)
(789.4041270936551, 1027.5578754482885)
(787.4098839755403, 1143.1681335958488)
(779.1632673886729, 1029.2661698203192)
(775.0963538091571, 1117.6556217818713)
(743.4594120731466, 1139.436544283003)
(782.7238693979419, 1014.4259108932621)
(766.954768821998, 1068.6479604071717)
(765.8947215010905, 1028.824008402863)
(781.5016897411874, 1081.061139946323)
(762.0006035609955, 1033.0822121787485)
(775.3509623320036, 999.6392725783029)
(764.8719417401787, 1006.035335629262)
(773.9743267809671, 989.5321991221834)
(776.9042591272936, 1045.7060914727085)
(777.6341760575143, 1000.5619793336766)
(789.5232075370765, 1019.4065278106326)
(753.0913274004643, 1167.4364149265966)
(764.3656301699319, 1047.1191592354078)
(760.2653412537154, 1000.410099786378)
(759.6902788959072, 1065.510742677113)
(781.9155251244348, 1045.7861164416913)
(752.2157257704001, 1060.3443307481011)
(805.7715087436897, 1035.7131394972141)
(792.0857419327206, 1027.7740316076017)
(785.0961737703127, 1064.4717171175243)
(791.7623826223128, 1109.9980014708167)
(754.7428847151835, 1176.135217741312)
(774.5460035986358, 945.819650518403)
(768.2084317063182, 994.4160213357951)
(781.7557915808783, 1032.5302885455706)
(777.9807540842047, 1036.372997067219)
(793.3427903571801, 1037.5485562912543)
(779.4793489356464, 1031.0942969337182)
(772.7279416600813, 1129.3478927904969)
(777.787138520792, 1028.2072580656761)
(773.9443369844058, 1056.9747706453684)
(755.1068971257265, 1116.7256991547954)
(775.8335485028123, 1104.4469651477161)
(767.5903174560843, 1047.7948724007413)
(763.5984456797155, 1110.1290403040957)
(775.0184331490265, 1120.6088393497623)
(777.488491357671, 1133.5163701164477)
(759.500048872634, 1180.241984823533)
(782.4218366946816, 1085.9417718907173)
(769.3164098907951, 1127.3908837878912)
(786.2472038472152, 1097.227811269665)
(753.3503082112989, 1025.6073896047544)
(764.5326414769227, 1164.2403416067518)
(764.379679013645, 1092.8518578875442)
(758.2836535483095, 1088.1074663246957)
(790.8795032288143, 1131.3214904805793)
(759.1839673256605, 1105.5174874212412)
(766.322605728051, 1113.3700541328947)
(783.553033595441, 1064.45871617614)
(792.802596767077, 1106.428914275765)
(751.0332124659319, 1071.1167900348144)
(771.4776643159006, 1074.761871599123)
(775.1641178488698, 1070.9552020564681)
(770.3217552678543, 1156.8305955957635)
(762.160337104552, 1132.284300244094)
(772.6800107965119, 1102.6124290637022)
(783.7500346989931, 986.5778459880282)
(767.1624332291238, 1061.8339429720513)
(769.4354903342164, 1145.4575771824652)
(794.6792528727747, 1047.9103843038688)
(761.0804566075013, 1027.6152648537782)
(788.0967490133355, 1174.4759279073833)
(774.1413380879579, 1006.5135360257119)
(769.3096388105163, 1084.1330950688352)
(767.4571881689499, 990.9795848233418)
(764.6618785407624, 1069.8357894332978)
(760.2546779501416, 1036.329413551346)
(797.7698241239437, 1059.3527716862336)
(753.9369392339671, 1053.6038535495547)
(766.9315501057155, 1011.8862884446291)
(777.9328232206353, 1074.435443511611)
(788.9283120031251, 992.5527693828501)
(766.4416861714724, 1025.2227986400871)
(784.1106615693966, 1033.1372232133492)
(771.1243152089314, 1111.971746778777)
(763.2988117687457, 996.0336701212025)
(771.7458149993047, 1003.547976799646)
(759.7449808397555, 1040.2385202468051)
(793.8757061838488, 928.7607073962982)
(783.1996844884718, 1039.0680533798215)
(780.0263136060282, 1117.7053928415428)
(764.5592457333447, 1086.374560492399)
(783.3361993157458, 1100.2931006124688)
(761.4676877343268, 1065.415776252249)
(756.6906904007333, 1061.0386873038642)
(756.4864115337468, 1023.3615629634326)
(775.1336213691528, 1126.9042247151142)
(768.5956628331436, 994.2189464233041)
(754.4549008556364, 1100.869452705759)
(781.7698404245915, 1024.8123887928055)
(791.497617479048, 1099.7537350670416)
(749.9286198215945, 1028.7283826947898)
(777.2435593905495, 1063.4507110474326)
(775.51069587556, 1093.0298869354895)
(759.3775828890732, 1044.4011052647136)
(777.8079584447839, 1011.4263623939144)
(759.9153776868857, 1103.3809851392487)
(774.500471527357, 998.5434077052186)
(781.3627761216229, 1033.0689563811259)
(791.456964378913, 1141.1736213828078)
(782.9688013650634, 1145.5568644455698)
(757.5430733145148, 1065.4136527375983)
(783.142583752333, 1082.6573291140191)
(767.3933163525322, 1068.3172064841783)
(781.4876408974743, 1016.2989785156151)
(808.6873922463029, 1130.199840154302)
(763.6497620834243, 1125.5190659202588)
(770.4408357112757, 1018.1138832608129)
(779.9038476224674, 1048.5862450870804)
(752.9422571604815, 1109.1022895438393)
(765.3337079869955, 1024.1249194435673)
(775.197999868726, 1018.1510912354925)
(774.7899488179086, 1014.9855266811975)
(752.4804909136648, 1109.8781687294484)
(761.5456083944575, 1092.3542475790948)
(800.9199762901048, 1063.8294027539612)
(784.9804788670308, 994.040769757481)
(756.7313435008684, 1091.018712226033)
(747.6415138727888, 1064.4933647326309)
(796.7610932067452, 1074.5104095529641)
(770.2985365515717, 1076.0296164030165)
(750.7916660389498, 1076.474708236211)
(759.4255137526427, 1108.4599013713373)
(779.7102320590548, 1122.975889154955)
(779.0582357889647, 1023.9525278474264)
(781.3651749139135, 1079.180970640724)
(771.2501667326316, 1131.4260511480345)
(747.3128769131066, 1149.2071859848074)
(762.5683881553692, 1049.4196278666354)
(782.7074217619381, 1071.9092982874176)
(793.3461758973194, 963.1810695509628)
(770.084101064167, 1144.6986153495097)
(778.3945894674521, 1052.7236685527284)
(768.7791217761381, 1059.899898198116)
(773.4380254141589, 1037.876341371847)
(777.417341777819, 1005.3881907149816)
(781.4164913176223, 1120.9633240229957)
(761.0523589200751, 1098.5569710815332)
(755.5933755198301, 1118.5392134774904)
(777.8384549245009, 1112.819044639164)
(768.1338965863267, 1041.8904869706716)
(759.5852472961991, 1086.6483628662952)
(756.2380940264859, 1129.5526952400216)
(787.0565348685711, 1046.3602712113916)
(775.8301629626728, 1089.9964633513164)
(775.622498555547, 1110.1960309022727)
(760.6452946171065, 1085.162707433132)
(760.805028160663, 1086.9626707224486)
(758.2125039684576, 1060.4899489426623)
(784.1619779731054, 1109.0570941786468)
(748.966326336961, 1086.135332866055)
